game,date,player 0,score 0,player 1,score 1,player 2,score 2,player 3,score 3,player 4,score 4,player 5,score 5,player 6,score 6,player 7,score 7
9390,10,1604,5,2397,0,4030,0,5771,1,2000,2,591,1,,,,
9391,10,3499,9,5333,7,2132,5,3093,5,2056,0,3111,4,3632,9,,
9392,10,2567,3,4362,5,5847,9,1004,1,5314,9,615,8,4710,0,4006,2
9393,10,1687,2,4980,1,3106,3,,,,,,,,,,
9394,10,5782,0,2152,0,2448,0,5140,0,1773,0,1533,0,,,,
9395,10,5369,4,3697,5,1673,8,5301,2,,,,,,,,
9396,10,4625,5,4032,7,5356,7,486,5,3165,5,2474,7,1796,9,2056,0
9397,10,5928,7,1586,5,503,5,4366,3,,,,,,,,
9398,10,5217,4,5924,4,5221,7,3733,5,1892,7,3208,6,5845,5,,
9399,10,5246,5,2124,9,5087,9,2018,9,2140,4,5388,3,1522,9,5919,2
9400,10,3125,0,4649,0,2537,1,4152,1,1596,0,,,,,,
9401,10,2406,8,3159,4,1645,9,3726,8,5121,6,1028,2,2388,4,2667,7
9402,10,3209,5,3661,2,4665,5,3043,1,523,6,143,7,,,,
9403,10,1847,8,2056,7,2658,3,2676,4,1831,2,,,,,,
9404,10,12,3,2585,5,579,8,4710,0,4009,6,4780,2,,,,
9405,10,5765,8,4958,6,14,5,2644,7,1869,5,2581,5,1468,8,1636,2
9406,10,2132,8,3415,7,3168,7,1781,9,2410,6,604,9,3632,5,,
9407,10,2567,5,5369,5,1673,9,5301,9,4980,6,3111,4,5771,2,,
9408,10,5356,5,3697,5,2725,1,1796,8,3093,4,,,,,,
9409,10,2124,5,5246,8,5845,7,1786,7,5087,7,1892,6,5919,7,,
9410,10,5924,4,3125,0,503,6,2668,1,1604,5,5314,3,,,,
9411,10,1004,2,5823,5,591,6,1586,4,4710,2,5499,2,5353,8,5140,7
9412,10,2038,0,615,5,2474,3,5388,1,,,,,,,,
9413,10,3165,9,4646,8,486,8,2042,5,3726,8,3208,5,4625,7,47,3
9414,10,3661,4,5200,4,2388,8,5928,6,1645,4,523,1,143,6,,
9415,10,3159,4,4152,7,1831,4,2676,7,2667,9,12,3,,,,
9416,10,2644,2,5765,9,14,2,2056,4,5557,8,,,,,,
9417,10,4649,1,5847,6,5431,1,4366,4,,,,,,,,
9418,10,2581,4,2462,4,1064,2,3043,1,1522,9,1773,5,3482,9,,
9419,10,1636,1,2132,7,1533,2,2410,8,3632,9,2674,2,5782,2,2152,8
9420,10,604,8,4054,0,3209,2,3415,8,4333,5,5216,5,,,,
9421,10,1687,2,1721,5,4362,3,5847,1,,,,,,,,
9422,10,2567,2,2403,8,4196,6,5771,7,579,9,3111,9,4006,5,,
9423,10,4710,0,591,2,5823,5,5924,3,5353,9,5499,4,1604,2,,
9424,10,2668,1,5314,4,1892,5,5919,2,5246,3,1786,6,503,2,5087,7
9425,10,3093,5,4054,9,5388,5,1796,8,2725,5,5301,9,4980,7,1673,0
9426,10,2474,8,4646,1,615,4,3726,3,2042,0,486,7,523,1,,
9427,10,2667,6,14,7,2042,0,3599,4,2644,7,4625,4,3555,5,2676,8
9428,10,4161,2,3134,9,5140,1,2014,2,5200,3,2388,9,,,,
9429,10,1645,7,5928,6,523,5,3563,8,5264,1,3208,6,5845,5,,
9430,10,2410,9,2152,1,2581,3,5431,8,3159,7,2132,7,1831,7,,
9431,10,3632,6,5765,6,4576,7,5557,5,5369,1,,,,,,
9432,10,1064,2,5782,2,2462,1,2674,5,4152,7,,,,,,
9433,10,4710,2,1586,0,619,0,,,,,,,,,,
9434,10,12,5,1687,2,3074,0,4006,6,1533,9,4362,4,5847,9,4366,4
9435,10,1673,3,3415,0,4196,2,2042,7,2567,0,,,,,,
9436,10,3159,0,2152,0,5782,0,1064,0,4576,0,5621,0,,,,
9437,10,1004,3,5499,8,5353,4,3125,5,579,2,4333,2,573,5,591,1
9438,10,1604,2,2403,8,5437,4,5228,8,5924,7,604,5,3111,6,638,6
9439,10,5919,1,1786,7,5246,7,2038,5,2668,2,2041,6,2658,9,5314,4
9440,10,3093,8,2567,2,2108,1,5388,0,1892,5,167,5,1796,9,2163,2
9441,10,3726,6,4054,8,4646,9,2474,7,2725,8,3415,5,486,6,1636,7
9442,10,14,4,2014,3,615,4,3134,9,2667,7,5200,5,3555,5,,
9443,10,2644,8,117,5,5301,8,3208,7,523,1,,,,,,
9444,10,4798,5,2388,9,5845,5,1645,3,5928,7,4161,2,,,,
9445,10,2132,5,1831,9,2581,8,1840,9,5431,9,3599,9,3632,6,,
9446,10,4362,2,5847,8,4366,3,50,2,579,8,1687,2,619,1,,
9447,10,5765,5,2410,7,4152,1,,,,,,,,,,
9448,10,4592,4,2373,4,3209,2,12,2,5499,4,4196,5,5353,9,1652,6
9449,10,5557,5,1968,7,4576,2,1673,9,3710,9,,,,,,
9450,10,1604,2,1004,2,3125,5,573,5,591,5,4006,5,1535,9,4333,4
9451,10,638,8,3111,5,5225,2,604,8,5228,8,5437,1,2567,1,2403,3
9452,10,1633,0,579,0,5734,0,1687,0,4362,0,5847,0,,,,
9453,10,2474,8,4646,7,167,1,3726,0,486,8,2658,1,,,,
9454,10,3074,1,2163,7,4994,9,5018,4,2038,1,2041,7,4367,2,,
9455,10,3555,9,1892,2,117,5,1796,9,2667,8,5301,7,3208,6,,
9456,10,2014,2,1090,8,615,8,4161,4,2567,7,4050,6,,,,
9457,10,3093,2,1841,5,2668,2,2108,1,1050,7,5388,1,1786,3,,
9458,10,5928,8,5200,2,2132,4,3979,8,3632,7,5431,2,,,,
9459,10,5775,5,3726,9,14,5,3599,5,1636,5,3159,9,1645,8,,
9460,10,5894,1,1064,5,2462,4,41,9,167,2,3043,1,3134,9,5621,8
9461,10,4152,8,1004,2,3209,5,573,7,4592,8,5499,5,4731,8,,
9462,10,3125,1,1968,5,1673,9,638,1,1604,1,,,,,,
9463,10,4333,1,591,2,5130,8,579,9,5225,5,,,,,,
9464,10,1796,8,2474,2,3710,7,5301,3,3208,5,2086,9,486,7,5557,8
9465,10,4593,2,604,5,12,0,5353,9,,,,,,,,
9466,10,4646,7,3111,7,3415,6,3032,2,2166,5,2403,2,,,,
9467,10,50,5,2152,1,2410,5,4798,4,4196,4,5353,0,,,,
9468,10,5128,7,3555,9,2667,7,4994,5,422,5,562,8,117,7,,
9469,10,5323,9,5388,2,1050,8,1786,5,5431,3,1841,7,3093,9,2108,2
9470,10,3074,0,1090,7,5018,2,4367,4,,,,,,,,
9471,10,1645,6,2668,2,5928,8,5775,9,3726,7,3979,7,5765,9,1522,9
9472,10,3134,9,167,2,14,7,2462,1,2626,3,1636,2,2132,7,3159,8
9473,10,5734,2,5621,0,2636,7,3043,0,3990,2,558,8,5847,9,,
9474,10,5499,3,2475,8,5894,4,4592,0,1004,0,4362,5,2610,7,,
9475,10,4152,1,2086,5,3208,0,5826,1,1796,2,,,,,,
9476,10,5383,5,1633,8,5678,7,638,2,573,5,1604,0,,,,
9477,10,486,4,3724,5,5301,9,1673,7,1968,7,1783,4,,,,
9478,10,3555,5,5621,4,3599,5,2474,5,117,5,4646,2,562,5,2410,9
9479,10,4368,0,591,2,5130,7,579,5,3125,0,5225,5,,,,
9480,10,5557,2,2403,4,3415,2,4576,6,2474,0,,,,,,
9481,10,1652,0,422,1,2152,6,4994,3,3110,5,4798,5,2561,5,2661,2
9482,10,3125,2,3111,5,4196,5,5353,8,2667,9,4032,4,2166,5,,
9483,10,1645,5,1841,4,3570,8,2388,9,3726,7,5388,4,5323,4,3444,7
9484,10,2108,6,3093,0,1786,6,5018,7,5431,9,12,4,1050,9,,
9485,10,1522,0,3979,7,5765,5,4641,5,5775,8,3710,8,5928,0,,
9486,10,3134,9,5901,3,2462,3,4593,3,3647,6,4367,7,,,,
9487,10,5928,0,1636,4,3159,2,2626,2,1522,0,4061,1,,,,
9488,10,3093,3,423,1,5847,6,5928,9,1522,9,4000,7,5355,7,,
9489,10,4362,2,558,6,1004,2,5894,2,2475,6,2080,5,5228,7,,
9490,10,1968,7,1783,5,1673,9,3724,5,2086,9,3555,8,486,7,,
9491,10,1633,1,562,8,117,7,4646,0,2474,9,3043,0,3599,7,,
9492,10,5264,1,5826,8,638,9,3208,7,4152,7,5200,9,1604,2,1796,0
9493,10,4646,1,2410,3,3499,5,5301,3,2005,8,,,,,,
9494,10,3415,5,591,2,5383,4,4576,8,2404,8,114,8,5225,2,3043,0
9495,10,4694,0,4000,0,1522,0,1604,0,4152,0,2086,0,,,,
9496,10,3125,0,2561,9,5130,2,5945,7,422,7,4991,4,,,,
9497,10,423,5,1645,6,2403,5,2166,8,3111,5,4196,5,4788,8,1966,8
9498,10,2388,9,3726,5,1948,3,1796,5,5557,8,1841,8,4032,8,,
9499,10,2610,8,4129,7,3083,8,12,7,5388,5,4353,5,5018,8,,
9500,10,3043,1,3570,7,1786,3,,,,,,,,,,
9501,10,2108,1,3979,6,3444,6,1050,3,4641,5,3710,7,5775,8,5431,3
9502,10,3027,0,2462,4,5969,1,5901,7,4368,1,3647,7,1040,1,,
9503,10,3027,7,5343,5,3125,4,4362,3,3159,5,1004,1,5847,9,5928,9
9504,10,256,3,4061,3,3134,9,3563,9,2080,2,1636,4,3555,5,,
9505,10,1673,8,3724,6,5826,5,1968,6,1783,7,562,5,3093,0,,
9506,10,1535,9,638,5,5264,1,3599,9,1833,8,5818,7,,,,
9507,10,5894,7,2404,9,114,8,4000,9,5225,8,5383,4,5025,5,1762,9
9508,10,1796,7,3093,8,4576,3,4743,5,5301,9,3990,3,3415,6,,
9509,10,2474,7,5035,9,4991,1,422,2,,,,,,,,
9510,10,1966,7,4196,1,2410,5,5333,3,2403,2,,,,,,
9511,10,2166,9,2561,2,5000,7,3083,8,5130,3,5018,1,5945,7,4975,8
9512,10,3570,5,1786,6,12,2,1050,5,4646,8,,,,,,
9513,10,4788,3,3111,8,4129,1,2610,5,2108,4,,,,,,
9514,10,4032,3,132,8,5557,7,3979,7,4641,5,,,,,,
9515,10,3125,0,4353,3,5969,1,3654,0,4362,0,3647,0,1004,0,,
9516,10,2080,5,5343,6,4061,4,256,2,2710,8,1636,3,,,,
9517,10,2005,3,3726,1,3159,0,3555,1,,,,,,,,
9518,10,1673,9,3043,0,5826,1,,,,,,,,,,
9519,10,1019,7,4152,3,2086,9,5818,5,3724,7,2172,8,1968,9,,
9520,10,3027,7,3019,7,5901,6,5264,1,5847,9,1833,3,1604,6,4368,1
9521,10,5322,6,4743,5,114,9,5225,2,4000,6,5025,2,5383,9,,
9522,10,3159,5,3093,2,3517,9,3710,8,5301,9,3726,6,,,,
9523,10,5258,1,4196,1,2410,9,3990,7,2537,4,5333,2,2403,5,1796,9
9524,10,2610,6,5945,5,3083,5,3130,2,5000,6,5130,7,12,1,,
9525,10,4646,9,1522,5,4695,5,3570,4,1786,0,132,9,4032,7,2108,2
9526,10,1056,0,5200,5,1762,3,4991,2,422,5,90,1,5382,1,,
9527,10,1645,9,4353,6,3654,7,2725,9,3111,8,2080,6,,,,
9528,10,2086,9,5557,9,5826,7,3979,3,1673,8,2005,9,4641,3,,
9529,10,5382,6,4362,5,1004,1,4649,6,,,,,,,,
9530,10,1636,2,5818,7,549,5,5343,5,5264,1,4061,8,,,,
9531,10,5901,7,1995,7,3043,2,5847,8,1604,1,,,,,,
9532,10,2043,6,5969,3,3027,8,1833,4,,,,,,,,
9533,10,1056,1,2166,9,2474,2,1066,0,1966,7,4975,1,,,,
9534,10,4667,5,5305,8,1082,2,4152,2,,,,,,,,
9535,10,1019,2,3555,1,3125,2,4606,3,,,,,,,,
9536,10,1526,1,5383,6,4000,3,5225,2,114,6,3517,9,4995,9,4783,6
9537,10,4355,8,2370,0,4370,5,483,7,5025,7,,,,,,
9538,10,3726,5,1877,0,2410,7,5301,5,3159,4,1796,6,,,,
9539,10,5804,3,5323,7,4196,6,2384,7,3710,9,2537,4,5333,9,2403,8
9540,10,2610,4,4368,2,1758,1,5945,6,3083,5,5000,3,12,5,,
9541,10,2105,1,4646,9,3570,5,1532,6,1586,0,2108,2,5322,6,,
9542,10,3680,2,505,2,1522,9,4695,8,422,4,5200,2,4032,2,,
9543,10,5557,8,2086,9,1673,8,2005,8,4641,3,1783,6,5826,5,,
9544,10,1645,4,5818,9,3415,6,3111,6,1995,9,2080,4,5264,1,3979,7
9545,10,1833,3,4607,6,5969,6,2043,6,3043,5,1877,7,5343,3,,
9546,10,3125,0,1082,1,549,0,4152,0,1604,1,4086,2,5847,8,,
9547,10,4606,0,4667,5,5305,7,4995,0,1795,2,,,,,,
9548,10,114,5,3125,0,3130,0,5225,3,3517,9,549,4,4152,0,4783,0
9549,10,5333,8,2537,1,4995,9,3612,5,2410,9,2384,5,5804,2,5323,7
9550,10,4995,0,1796,9,5301,8,3125,5,4000,8,4606,9,5383,6,3726,8
9551,10,483,7,5025,5,4370,7,2370,4,,,,,,,,
9552,10,1532,7,5987,4,5945,2,4196,9,1526,3,3083,9,5000,8,2610,8
9553,10,2403,7,4646,8,2105,2,505,8,3680,5,3570,2,422,7,,
9554,10,1636,1,1762,3,4362,0,4649,8,4369,3,4353,3,,,,
9555,10,1673,8,4697,8,2005,9,1783,4,5557,2,4032,5,2086,8,,
9556,10,4695,8,4641,5,5826,5,1522,0,5294,5,5322,7,5200,2,,
9557,10,1645,7,4077,5,2080,8,1995,7,1522,9,3111,0,3415,9,,
9558,10,1535,9,3959,1,2043,7,3111,7,3043,4,5264,4,4086,2,,
9559,10,1604,1,5333,4,4152,8,1841,1,5847,6,4955,7,3726,4,1082,2
9560,10,549,3,4606,8,5383,8,5343,6,3130,2,5225,5,114,8,4607,5
9561,10,3710,0,5301,8,5305,7,4667,7,2410,8,1795,9,1796,9,,
9562,10,4059,5,5025,8,3125,4,4000,7,483,2,3612,4,4362,4,4995,8
9563,10,2610,8,5818,3,1532,7,422,2,545,4,3083,5,5000,1,,
9564,10,1783,8,1673,9,4586,9,4697,7,3710,5,2005,9,2086,9,4032,5
9565,10,3587,2,3570,3,413,0,2105,2,3680,2,4196,5,,,,
9566,10,5200,7,5294,5,4641,6,413,6,2384,8,5826,7,,,,
9567,10,2621,3,2043,3,4369,6,4371,7,4077,2,,,,,,
9568,10,1841,5,4152,0,5847,3,4583,0,3111,5,3043,0,3726,0,1995,5
9569,10,1645,9,5836,0,419,0,5982,1,4975,3,,,,,,
9570,10,1082,5,4646,5,3130,2,5225,7,4606,5,5333,9,1604,3,,
9571,10,5301,5,2410,9,4667,9,3726,3,5305,9,5557,6,1795,0,,
9572,10,4086,2,5025,1,4000,1,3612,3,,,,,,,,
9573,10,4583,6,4059,7,5323,5,4955,4,1796,9,,,,,,
9574,10,1532,5,3916,8,3083,7,2610,9,4362,2,,,,,,
9575,10,3132,8,3043,2,5343,4,,,,,,,,,,
9576,10,1783,5,1673,6,2005,8,4697,8,1795,8,2086,5,,,,
9577,10,3125,2,2996,5,3680,3,4586,7,4995,6,5294,5,,,,
9578,10,4372,1,4607,2,2020,4,4370,9,3110,6,483,7,5000,5,,
9579,10,5818,7,5200,5,3587,0,4196,7,5826,6,114,2,1522,8,,
9580,10,2384,5,3079,3,413,5,545,7,495,8,2043,4,4152,8,4077,3
9581,10,3111,7,4606,9,1526,5,1995,9,1841,6,1645,8,5847,9,,
9582,10,4371,5,2184,2,1604,2,3130,6,5225,4,2621,3,3587,3,4369,5
9583,11,5301,9,3710,0,4667,9,4646,2,2410,5,5305,3,3726,4,,
9584,11,3612,4,5025,6,5323,7,4955,5,4000,2,505,2,,,,
9585,11,3132,6,2610,9,4362,3,4583,7,43,9,3916,5,1532,9,3083,5
9586,11,3125,5,5000,7,3680,5,2020,2,3639,4,4607,5,5009,4,,
9587,11,2086,9,1795,8,5557,8,4697,4,3710,7,2005,8,1783,0,,
9588,11,495,9,2384,9,4196,9,5826,7,4995,9,5200,1,4077,2,,
9589,11,5128,3,4152,1,1995,2,4606,6,3111,3,1783,9,,,,
9590,11,545,0,3130,2,5225,2,4370,9,2043,7,5944,4,4371,5,4372,1
9591,11,2537,2,1645,6,1604,0,3587,8,4586,7,413,5,,,,
9592,11,1690,2,5847,8,4086,3,4369,3,,,,,,,,
9593,11,3043,1,5125,5,2080,2,4586,0,5294,1,1796,8,3703,2,,
9594,11,4366,6,2661,0,3130,6,5025,5,1535,9,547,8,3667,5,,
9595,11,2005,2,3710,1,1795,1,2086,1,,,,,,,,
9596,11,2661,2,5000,7,3083,7,3079,2,3639,7,2020,3,3132,5,4362,4
9597,11,4607,0,5009,1,1532,8,2053,8,4583,7,3680,2,,,,
9598,11,2410,2,4667,2,4646,4,4955,1,5301,1,5305,3,,,,
9599,11,4995,7,1995,3,5826,2,,,,,,,,,,
9600,11,5557,7,1645,0,3111,4,1783,8,4606,3,,,,,,
9601,11,413,0,2384,4,3916,5,4586,7,4152,5,5128,5,1604,2,,
9602,11,5847,2,3703,1,1645,5,4032,7,,,,,,,,
9603,11,5125,7,5901,4,2080,8,3125,6,1690,9,5294,6,,,,
9604,11,4086,1,4366,6,5025,3,4369,6,1535,7,547,5,,,,
9605,11,3639,9,2020,5,3079,3,3083,4,5000,7,1522,7,3132,6,4362,3
9606,11,1795,8,5305,8,3710,2,2086,9,4667,9,2410,7,2005,9,,
9607,11,2053,8,1532,5,4955,2,3669,6,,,,,,,,
9608,11,4995,7,5343,0,5826,7,3130,4,3043,5,4646,6,3955,9,,
9609,11,509,5,5912,3,4372,0,1762,7,,,,,,,,
9610,11,4371,4,4769,2,5225,2,3587,3,2043,2,,,,,,
9611,11,3111,3,1783,8,2179,5,2090,5,423,2,,,,,,
9612,11,601,0,509,0,5225,0,1522,0,2043,0,3587,0,3955,0,,
9613,11,5087,7,1604,2,5294,2,1690,8,,,,,,,,
9614,11,4769,2,3125,0,5901,6,2080,4,5125,9,3703,6,5847,8,4032,2
9615,11,4086,5,4152,5,4366,5,5025,1,3125,5,1535,9,4369,5,547,3
9616,11,423,6,3132,4,3083,7,2561,6,5000,8,4975,7,3639,7,2020,1
9617,11,2005,5,4667,9,2410,8,1795,8,3710,8,5305,4,,,,
9618,11,1532,4,3959,1,1032,4,2053,7,4362,1,3669,8,,,,
9619,11,5826,5,5343,5,4646,8,1048,7,3043,0,3130,2,4995,7,4129,0
9620,11,4371,2,1762,6,1604,2,5294,2,1690,8,3111,8,4340,1,,
9621,11,3955,6,1783,8,2179,8,5076,8,2090,3,4625,6,,,,
9622,11,547,2,5025,4,5125,6,4152,5,4086,1,3703,9,4366,2,,
9623,11,5847,5,1892,5,2561,5,4975,7,1535,7,3639,8,4369,3,,
9624,11,4995,2,1795,8,5826,4,,,,,,,,,,
9625,11,3083,2,5956,0,1532,2,4362,0,423,5,3132,0,63,3,,
9626,11,601,5,509,7,1522,9,5225,8,3043,7,2043,8,3587,7,4362,2
9627,11,5076,7,1783,8,3111,3,5200,1,5305,7,2179,6,,,,
9628,11,4376,1,4340,4,4374,1,4371,5,,,,,,,,
9629,11,5343,1,3043,0,3130,5,4129,4,4373,1,,,,,,
9630,11,4667,6,2410,5,2005,7,5305,0,3710,2,,,,,,
9631,11,4152,5,5847,9,3703,9,4975,5,3639,5,2172,9,2561,5,5025,6
9632,11,1535,8,4375,5,3125,5,3083,7,3240,1,,,,,,
9633,11,5826,6,1532,2,4995,9,3542,6,,,,,,,,
9634,11,5305,9,2179,2,5557,7,1048,9,5076,9,3111,7,1783,9,,
9635,11,509,0,3043,2,5225,1,601,2,5956,1,4362,0,1597,1,63,2
9636,11,1597,4,4362,7,4371,8,4129,8,4340,1,4374,2,4376,8,3130,5
9637,11,5025,8,4650,5,2561,5,4975,6,5236,6,4152,6,3703,8,,
9638,11,4646,7,3955,7,5272,1,3730,4,4086,2,1604,1,1690,7,3669,6
9639,11,3710,5,4667,8,2410,3,1505,9,,,,,,,,
9640,11,601,4,2621,7,3043,6,3083,8,4375,9,4129,9,4373,9,1597,0
9641,11,4995,4,5847,1,3542,3,1532,1,3083,0,3125,1,5826,2,,
9642,11,4152,8,5847,8,1604,5,3703,8,4975,7,4646,9,4638,7,2561,6
9643,11,4371,5,5236,5,4362,3,1597,2,4374,5,4340,5,2678,2,4376,7
9644,11,2410,3,1505,5,4659,1,4667,3,3710,1,,,,,,
9645,11,5025,1,4086,2,1690,8,3669,9,,,,,,,,
9646,11,5305,5,2179,3,5076,2,1783,5,3111,0,,,,,,
9647,11,3083,3,3043,4,1522,9,601,5,3955,9,3984,8,4129,6,,
9648,11,1566,0,3984,0,99,0,601,0,5025,0,3083,0,,,,
9649,11,3710,4,4995,7,5557,7,3703,2,3912,2,2410,9,4638,8,5826,3
9650,11,4371,9,5236,5,4152,8,1597,5,2561,9,5025,0,2678,6,,
9651,11,4362,1,4086,1,1604,2,4340,2,4374,1,1532,3,,,,
9652,11,1795,9,4667,7,1505,7,4659,3,,,,,,,,
9653,11,5076,5,1783,5,2179,7,5305,5,,,,,,,,
9654,11,4995,8,3710,7,3703,8,5025,5,5826,5,2410,7,3111,5,,
9655,11,2561,2,1522,4,4340,1,1532,4,2678,7,5236,7,1029,6,,
9656,11,4086,2,4362,3,4370,9,4374,1,,,,,,,,
9657,11,4667,7,5557,6,4659,2,1505,8,,,,,,,,
9658,11,3623,6,1604,1,,,,,,,,,,,,
9659,11,5305,7,5076,6,1783,9,99,1,77,3,,,,,,
9660,11,3984,8,4665,2,436,3,601,7,5315,8,5901,8,1566,2,,
9661,11,2005,8,2410,8,3165,7,2090,2,3710,5,4995,8,5826,1,3703,8
9662,11,4362,2,1522,5,1532,4,4370,9,2678,8,,,,,,
9663,11,1604,1,2160,5,99,7,77,9,,,,,,,,
9664,11,1783,5,1505,8,5076,7,5557,5,5305,5,,,,,,
9665,11,3623,5,3111,5,4152,2,,,,,,,,,,
9666,11,4995,6,3710,8,4667,8,5826,9,3165,9,2410,9,3598,9,5315,3
9667,11,601,2,436,1,4378,0,,,,,,,,,,
9668,11,5557,0,5305,2,1783,3,1505,6,5076,1,3955,0,,,,
9669,11,2126,0,2184,0,4362,1,3131,6,4626,3,4370,7,,,,
9670,11,99,5,77,9,1103,3,1522,5,2160,4,,,,,,
9671,11,4152,7,4995,2,3710,8,5826,7,1604,1,3598,7,,,,
9672,11,3623,5,2126,1,,,,,,,,,,,,
9673,11,3165,4,1783,4,1505,9,5076,2,5305,8,5557,7,,,,
9674,11,77,9,99,8,5315,6,1522,8,1103,8,2160,5,,,,
9675,11,4362,2,3623,5,4626,5,1079,9,,,,,,,,
9676,11,3598,7,5826,4,3710,7,4995,5,4152,0,,,,,,
9677,11,4362,0,2184,1,4379,0,2678,6,4370,7,4376,7,601,2,,
9678,11,1604,2,2661,0,632,0,2700,2,5731,7,,,,,,
9679,11,3165,5,1783,3,1505,7,5557,6,5305,8,,,,,,
9680,11,4152,6,2160,2,3623,2,5315,7,1103,5,1079,7,,,,
9681,11,4625,2,5557,6,1505,9,3598,4,3165,6,,,,,,
9682,11,601,2,1079,7,5829,0,4376,2,4380,1,1604,1,,,,
9683,11,4152,5,2160,5,5315,5,1884,2,3623,6,1103,8,,,,
9684,11,5826,5,2700,1,4370,5,1522,3,,,,,,,,
9685,11,1884,5,5315,3,601,3,99,8,3702,8,4152,4,4625,8,1604,2
9686,11,4381,2,4372,3,4376,4,1079,8,,,,,,,,
9687,11,1505,9,3947,9,3165,4,5557,2,,,,,,,,
9688,11,1048,4,3598,8,3623,5,1103,5,5826,5,,,,,,
9689,11,2160,1,1522,2,,,,,,,,,,,,
9690,11,1884,0,601,4,5315,2,1079,9,99,9,3702,9,4152,5,,
9691,11,4382,2,1604,2,4374,1,,,,,,,,,,
9692,11,3598,4,3165,8,1103,7,5826,5,,,,,,,,
9693,11,5731,6,1048,1,4376,8,3623,5,1522,9,2160,4,,,,
9694,11,99,7,3702,8,5315,1,601,6,4152,8,,,,,,
9695,11,5017,1,5015,2,,,,,,,,,,,,
9696,11,5826,5,1996,9,3598,8,3165,8,1103,5,,,,,,
9697,11,3053,3,4374,1,1604,1,,,,,,,,,,
9698,11,5017,1,4377,1,4376,5,3623,7,601,5,,,,,,
9699,11,4152,5,2160,0,1103,0,3435,5,1522,0,3598,0,5315,0,,
9700,11,5557,8,5826,1,1996,7,3165,8,,,,,,,,
9701,11,3598,0,1103,0,2996,0,99,0,4376,0,2160,0,5017,0,,
9702,11,5015,1,4374,1,4383,4,4379,0,,,,,,,,
9703,11,1604,0,3053,5,1884,3,,,,,,,,,,
9704,11,1522,6,5826,3,5557,2,1996,7,,,,,,,,
9705,11,2996,2,4374,0,,,,,,,,,,,,
9706,11,1604,0,2160,1,,,,,,,,,,,,
9707,11,1996,2,5826,0,,,,,,,,,,,,
9708,11,4379,1,4383,3,5017,5,4384,2,5015,5,4376,3,,,,
9709,11,4384,2,4374,8,2996,8,4383,5,,,,,,,,
9710,11,5017,1,4152,5,,,,,,,,,,,,
9711,11,1604,0,4376,5,,,,,,,,,,,,
9712,11,5557,4,1996,4,,,,,,,,,,,,
9713,11,2160,7,4383,5,2996,4,5889,3,,,,,,,,
9714,11,4375,1,4374,1,4384,1,4376,2,,,,,,,,
9715,11,5091,5,1996,8,4152,1,5017,1,,,,,,,,
9716,11,4383,6,2160,9,4374,6,2996,3,5889,3,,,,,,
9717,11,5091,7,2090,3,5017,5,4152,1,,,,,,,,
9718,11,2996,3,5401,4,4375,3,,,,,,,,,,
9719,11,2160,2,4152,3,1567,8,,,,,,,,,,
9720,11,4383,5,4374,1,4384,1,4624,2,,,,,,,,
9721,11,1884,0,5401,1,5091,8,4152,5,4625,8,1567,9,2160,3,,
9722,11,2160,7,1567,8,4625,8,4152,5,4383,7,5091,7,5401,3,1884,7
9723,11,1884,9,5091,7,4152,2,4625,8,1567,8,2160,1,,,,
9724,11,4386,1,4383,2,5401,2,,,,,,,,,,
9725,11,5091,7,1884,1,3563,1,4625,1,4152,0,1567,1,2160,1,,
9726,11,4386,9,4384,5,4374,1,4376,5,4387,1,,,,,,
9727,11,5091,8,5401,2,1884,5,2160,2,4625,7,4383,4,,,,
9728,11,4378,5,4387,2,4376,9,4385,3,4384,2,,,,,,
9729,11,5401,1,5091,9,1884,3,4625,5,2160,5,,,,,,
9730,11,4383,0,1567,9,1884,2,5091,8,5401,4,4374,0,4376,3,,
9731,11,4387,1,4385,5,4384,2,4378,7,,,,,,,,
9732,11,4383,2,4152,1,1567,4,5401,1,5091,9,,,,,,
9733,11,4384,3,4385,2,4387,3,,,,,,,,,,
9734,11,1712,3,4152,7,1567,7,5091,9,1542,8,,,,,,
9735,11,4385,3,4376,4,4386,1,,,,,,,,,,
9736,11,4387,1,4384,0,,,,,,,,,,,,
9737,11,4376,4,5091,9,1542,4,4152,2,1567,8,5021,5,,,,
9738,11,5024,6,1712,4,5022,3,5023,5,,,,,,,,
9739,11,4384,0,4387,1,,,,,,,,,,,,
9740,11,4386,3,4388,0,,,,,,,,,,,,
9741,11,5091,1,1542,8,5025,5,3563,5,4152,2,1567,7,,,,
9742,11,1712,2,5021,8,4385,1,4376,9,,,,,,,,
9743,11,5025,5,1542,7,5023,7,5021,7,5022,8,5024,8,4152,5,,
9744,11,4387,5,1712,6,4385,2,4388,1,4384,3,,,,,,
9745,11,4384,1,4385,1,4387,2,,,,,,,,,,
9746,11,5021,6,4389,4,4388,1,4376,8,,,,,,,,
9747,11,5023,4,1542,6,5028,0,5025,5,5021,0,5024,5,5022,5,4152,2
9748,11,1712,6,5021,8,4389,7,5028,2,4376,7,4385,2,4384,0,,
9749,11,1542,6,5023,5,5025,1,5022,0,5024,8,4152,4,,,,
9750,11,4387,1,5022,8,1567,9,5021,0,4384,4,4376,6,,,,
9751,11,4385,1,5025,7,5021,8,4389,7,,,,,,,,
9752,11,4387,2,4385,2,4376,7,4384,4,,,,,,,,
